timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ,label
1723102,-0.99,-0.03,-0.15,1.71,0.85,0.12,default
1723110,-0.99,-0.03,-0.15,1.53,0.73,0.12,default
1723118,-0.99,-0.03,-0.15,1.53,0.73,0.12,default
1723126,-0.99,-0.03,-0.15,1.34,0.79,-0.12,default
1723134,-0.99,-0.03,-0.15,1.34,0.79,-0.12,default
1723142,-0.99,-0.03,-0.15,1.53,1.59,-0.31,default
1723150,-0.99,-0.03,-0.15,1.34,1.89,-0.43,default
1723158,-0.99,-0.03,-0.15,1.59,2.20,-0.37,default
1723166,-0.99,-0.03,-0.15,1.46,2.50,-0.43,default
1723174,-0.99,-0.03,-0.14,1.59,2.14,-0.24,default
1723182,-0.99,-0.02,-0.15,1.89,1.53,-0.06,default
1723190,-0.99,-0.03,-0.15,2.26,1.40,0.12,default
1723198,-0.99,-0.03,-0.15,2.38,1.59,0.24,default
1723206,-0.99,-0.03,-0.15,2.56,1.83,0.18,default
1723214,-0.99,-0.03,-0.15,2.56,1.83,0.18,default
1723222,-0.99,-0.03,-0.15,2.87,2.44,0.06,default
1723230,-1.00,-0.03,-0.16,2.87,2.44,0.06,default
1723238,-0.99,-0.03,-0.15,3.11,3.23,-0.18,default
1723246,-0.99,-0.03,-0.14,3.17,4.15,-0.31,default
1723254,-0.98,-0.03,-0.14,3.30,3.97,-0.31,default
1723262,-0.99,-0.03,-0.15,3.11,2.75,-0.12,default
1723270,-0.99,-0.03,-0.14,3.05,2.44,-0.12,default
1723278,-0.99,-0.03,-0.14,2.75,2.38,-0.12,default
1723286,-0.99,-0.03,-0.15,2.62,2.08,0.06,default
1723294,-0.99,-0.03,-0.14,2.50,2.08,0.00,default
1723302,-0.99,-0.03,-0.14,2.50,2.08,0.12,default
1723310,-0.99,-0.03,-0.15,2.38,2.20,0.06,default
1723318,-0.99,-0.03,-0.15,2.38,2.20,0.06,default
1723326,-0.99,-0.03,-0.15,2.32,2.14,-0.06,default
1723334,-0.99,-0.03,-0.15,2.38,1.83,-0.12,default
1723342,-0.99,-0.02,-0.15,2.38,2.32,-0.06,default
1723350,-0.99,-0.02,-0.15,2.69,2.69,-0.12,default
1723358,-0.99,-0.03,-0.14,2.99,2.62,0.06,default
1723366,-0.99,-0.04,-0.14,2.87,2.38,0.18,default
1723374,-0.99,-0.03,-0.14,2.56,2.20,0.00,default
1723382,-0.99,-0.03,-0.14,2.56,2.14,0.18,default
1723390,-1.00,-0.02,-0.16,2.99,2.32,0.18,default
1723398,-1.00,-0.02,-0.16,4.58,3.48,0.12,default
1723406,-0.98,-0.00,-0.13,6.29,3.72,0.24,default
1723414,-0.98,-0.00,-0.13,6.29,3.72,0.24,default
1723422,-0.99,-0.04,-0.13,6.23,3.17,0.73,default
1723430,-1.02,-0.05,-0.16,6.23,3.17,0.73,default
1723438,-0.98,-0.02,-0.13,2.87,3.05,0.24,default
1723446,-0.99,-0.04,-0.14,4.09,2.87,0.18,default
1723454,-0.99,-0.04,-0.14,3.85,2.38,0.24,default
1723462,-0.99,-0.04,-0.14,2.81,2.32,0.00,default
1723470,-0.99,-0.03,-0.14,2.38,2.14,0.00,halfshot
1723478,-0.99,-0.03,-0.14,2.14,1.95,0.12,halfshot
1723486,-0.99,-0.03,-0.14,1.89,1.53,0.06,halfshot
1723494,-0.99,-0.03,-0.14,1.46,1.46,0.00,halfshot
1723502,-0.99,-0.03,-0.14,1.46,1.46,0.00,halfshot
1723510,-0.99,-0.03,-0.14,1.04,0.43,0.06,halfshot
1723518,-0.98,-0.03,-0.13,1.04,0.43,0.06,halfshot
1723526,-0.99,-0.04,-0.14,0.31,-0.67,0.06,halfshot
1723534,-1.00,-0.04,-0.15,-0.61,-0.73,-0.06,halfshot
1723542,-1.00,-0.04,-0.15,-2.26,0.55,-0.79,halfshot
1723550,-0.99,-0.03,-0.14,-3.54,1.53,-1.59,halfshot
1723558,-0.98,-0.02,-0.13,-4.03,1.53,-1.59,halfshot
1723566,-0.98,-0.02,-0.13,-3.54,-0.12,-0.92,halfshot
1723574,-0.98,-0.02,-0.13,-3.23,-2.32,-0.18,halfshot
1723582,-0.99,-0.03,-0.14,-3.30,-4.27,0.43,halfshot
1723590,-0.99,-0.03,-0.14,-3.72,-5.25,0.55,halfshot
1723598,-0.99,-0.03,-0.14,-4.82,-6.53,0.61,halfshot
1723606,-1.04,-0.08,-0.17,-6.84,-7.87,0.49,halfshot
1723614,-0.99,-0.02,-0.14,-6.84,-7.87,0.49,halfshot
1723622,-1.01,-0.01,-0.18,-5.31,-7.08,0.67,halfshot
1723630,-1.00,-0.03,-0.17,-5.31,-7.08,0.67,halfshot
1723638,-1.00,-0.04,-0.16,-0.06,0.37,0.49,halfshot
1723646,-0.99,-0.03,-0.17,0.00,2.50,-0.55,halfshot
1723654,-0.98,-0.02,-0.18,0.43,3.66,-1.28,halfshot
1723662,-0.96,-0.03,-0.18,1.28,2.75,-1.04,halfshot
1723670,-0.97,-0.04,-0.15,1.59,-0.67,-0.06,halfshot
1723678,-0.97,-0.03,-0.19,1.28,-3.78,2.01,halfshot
1723686,-0.97,-0.09,-0.17,2.14,-4.70,1.22,halfshot
1723694,-0.97,-0.09,-0.17,-0.31,-6.59,0.43,halfshot
1723702,-0.96,-0.03,-0.16,-1.16,-10.31,0.12,halfshot
1723710,-0.96,-0.03,-0.16,-1.16,-10.31,0.12,halfshot
1723718,-0.97,-0.06,-0.12,-0.55,-17.03,-4.21,halfshot
1723726,-1.03,-0.03,-0.15,-0.55,-17.03,-4.21,halfshot
1723734,-0.98,-0.01,-0.17,-3.54,-16.85,-11.11,halfshot
1723742,-1.01,0.00,-0.17,-2.69,-16.60,-15.44,halfshot
1723750,-1.07,-0.02,-0.17,-2.38,-14.65,-16.05,halfshot
1723758,-1.10,-0.01,-0.19,-3.17,-11.17,-15.20,halfshot
1723766,-1.12,0.01,-0.22,-3.11,-8.12,-12.39,halfshot
1723774,-1.13,0.00,-0.25,-1.65,-7.45,-7.57,halfshot
1723782,-1.13,-0.02,-0.26,-0.18,-8.54,-2.81,halfshot
1723790,-1.18,-0.01,-0.32,0.73,-10.13,0.67,halfshot
1723798,-1.18,-0.01,-0.32,0.73,-10.13,0.67,halfshot
1723806,-1.18,-0.05,-0.29,1.71,-3.54,2.56,halfshot
1723814,-1.22,-0.01,-0.32,1.71,-3.54,2.56,halfshot
1723822,-1.22,0.06,-0.33,3.48,1.65,1.95,halfshot
1723830,-1.25,-0.02,-0.33,7.93,3.85,1.89,halfshot
1723838,-1.21,-0.13,-0.31,9.46,6.16,1.83,halfshot
1723846,-1.18,-0.12,-0.34,7.45,7.39,3.60,halfshot
1723854,-1.17,-0.12,-0.34,5.92,9.34,10.74,halfshot
1723862,-1.14,-0.13,-0.32,5.55,12.51,17.52,halfshot
1723870,-1.11,-0.13,-0.32,3.66,16.05,20.87,halfshot
1723878,-1.07,-0.16,-0.30,2.08,20.02,22.09,halfshot
1723886,-1.01,-0.16,-0.30,-0.98,25.57,21.36,halfshot
1723894,-1.01,-0.16,-0.30,-3.85,29.60,19.84,halfshot
1723902,-0.95,-0.13,-0.27,-4.64,29.17,17.94,halfshot
1723910,-0.95,-0.13,-0.27,-4.64,29.17,17.94,halfshot
1723918,-0.87,-0.11,-0.27,-4.27,23.38,15.93,halfshot
1723926,-0.86,-0.12,-0.27,-4.27,23.38,15.93,halfshot
1723934,-0.86,-0.13,-0.26,-5.43,6.84,15.50,halfshot
1723942,-0.88,-0.15,-0.25,-6.41,-2.99,15.32,halfshot
1723950,-0.92,-0.16,-0.25,-7.81,-11.66,15.32,halfshot
1723958,-0.96,-0.17,-0.24,-10.25,-15.99,15.44,halfshot
1723966,-0.97,-0.17,-0.24,-13.31,-14.04,15.63,halfshot
1723974,-0.96,-0.16,-0.24,-16.30,-8.61,15.87,halfshot
1723982,-0.94,-0.14,-0.25,-17.94,-4.52,15.14,halfshot
1723990,-0.94,-0.14,-0.25,-17.82,-4.64,13.67,halfshot
1723998,-0.94,-0.14,-0.25,-17.82,-4.64,13.67,halfshot
1724006,-0.96,-0.14,-0.26,-16.66,-12.51,7.45,halfshot
1724014,-0.99,-0.14,-0.28,-16.66,-12.51,7.45,halfshot
1724022,-1.02,-0.16,-0.30,-16.54,-14.95,3.85,halfshot
1724030,-1.05,-0.17,-0.32,-17.21,-15.38,0.61,halfshot
1724038,-1.08,-0.18,-0.33,-17.94,-14.95,-2.50,halfshot
1724046,-1.11,-0.20,-0.33,-18.80,-14.16,-5.25,halfshot
1724054,-1.10,-0.20,-0.32,-21.24,-12.76,-8.42,halfshot
1724062,-1.09,-0.19,-0.32,-23.86,-11.29,-10.93,halfshot
1724070,-1.08,-0.18,-0.30,-25.63,-9.70,-11.90,halfshot
1724078,-1.07,-0.15,-0.32,-27.77,-8.36,-12.57,halfshot
1724086,-1.04,-0.15,-0.33,-29.05,-8.18,-11.78,halfshot
1724094,-1.04,-0.15,-0.33,-29.85,-10.86,-8.97,halfshot
1724102,-1.02,-0.16,-0.34,-31.07,-16.48,-5.55,halfshot
1724110,-1.03,-0.18,-0.36,0.00,0.00,ovf,halfshot
1724118,-1.07,-0.20,-0.37,-33.45,-22.58,-3.85,halfshot
1724126,-1.09,-0.20,-0.39,-36.50,-27.04,-3.60,halfshot
1724134,-1.12,-0.19,-0.39,-38.82,-28.50,-4.82,halfshot
1724142,-1.12,-0.13,-0.40,-39.79,-28.69,-9.22,halfshot
1724150,-1.14,-0.16,-0.37,-36.50,-28.26,-15.75,halfshot
1724158,-1.14,-0.13,-0.37,-34.61,-25.33,-21.48,halfshot
1724166,-1.07,-0.07,-0.38,-33.81,-19.96,-25.70,halfshot
1724174,-1.02,-0.11,-0.35,-29.97,-16.85,-28.02,halfshot
1724182,-0.98,-0.10,-0.34,-29.24,-16.97,-27.28,halfshot
1724190,-0.98,-0.10,-0.34,-31.19,-19.41,-23.38,halfshot
1724198,-0.99,-0.08,-0.29,-33.39,-22.64,-18.74,halfshot
1724206,-0.99,-0.08,-0.29,-33.39,-22.64,-18.74,halfshot
1724214,-1.04,-0.06,-0.29,-35.10,-26.55,-13.00,halfshot
1724222,-1.05,-0.06,-0.27,-35.10,-26.55,-13.00,halfshot
1724230,-1.05,-0.03,-0.25,-42.72,-25.82,-8.97,halfshot
1724238,-1.00,0.00,-0.26,-48.16,-19.71,-2.56,halfshot
1724246,-0.94,0.06,-0.24,-49.68,-13.12,4.76,halfshot
1724254,-0.93,0.02,-0.20,-48.58,-9.89,10.99,halfshot
1724262,-0.92,0.03,-0.22,-49.62,-9.77,14.22,halfshot
1724270,-0.92,-0.00,-0.21,-49.13,-10.56,13.12,halfshot
1724278,-0.91,0.02,-0.20,-48.40,-11.54,9.89,halfshot
1724286,-0.91,0.03,-0.17,-47.73,-13.24,5.31,halfshot
1724294,-0.91,0.03,-0.17,-47.73,-13.24,5.31,halfshot
1724302,-0.96,0.01,-0.13,-49.56,-12.39,-3.17,halfshot
1724310,-0.94,0.09,-0.14,-49.56,-12.39,-3.17,halfshot
1724318,-0.95,0.10,-0.14,-48.71,-7.45,-3.54,halfshot
1724326,-0.96,0.11,-0.12,-46.02,-1.04,-2.32,halfshot
